Test Case,Input,Maximum Subarray Sum,Branch_Coverage,Statement_Coverage,Function_Coverage,Execution_Time,Adequacy_Score,Adequacy_Label
60,"[389061031, 555088663, 791259471, 855908644, 345778006, 959665399, 687054353, 512505417, 405249636]",5501570620,94.44444444,57.14285714,100.00%,0.001003027,36.1316457273,mid
61,"[906062370, 169772641, 370140661, 540703364, 145723982]",2132403018,94.44444444,57.14285714,100.00%,0.001004219,36.1316456081,mid
62,"[128393766, 90931004, 120574813, 853829587, 900613747, 426586534, 604748544, 511373926]",3637051921,94.44444444,57.14285714,100.00%,0.000659227,36.13168010729999,high
63,"[502167435, 729143785]",1231311220,94.44444444,57.14285714,100.00%,0.001300335,36.1316159965,mid
64,"[556749803, 610834640, 841522692, 931813695, 945242755, 709898028, 436593358, 884543846, 348876295, 801815472]",7067890584,94.44444444,57.14285714,100.00%,0.000997543,36.13164627569999,high
65,"[12801404, 526018983, 448079181, 234015323, 486393262, 906351677, 974000302, 706078208, 820613376, 581175611]",5695527327,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
66,"[45628473, 744667393]",790295866,94.44444444,57.14285714,100.00%,0.000221491,36.1317238809,high
67,"[349470424, 360473592, 784555353, 263522603, 729384206, 941276311, 465088072]",3893770561,94.44444444,57.14285714,100.00%,0.001289368,36.13161709319999,mid
68,"[993275522, 496246303, 788160968, 622838258, 975797202, 369855976, 587938660]",4834112889,94.44444444,57.14285714,100.00%,0.000998735,36.1316461565,high
69,"[626651516, 403947112, 180806961, 803736010]",2015141599,94.44444444,57.14285714,100.00%,0.000986576,36.1316473724,high
70,"[847076318, 537518435, 135449701, 689522348, 135823194, 786190225, 621108686, 500835563, 566906158, 53382697]",4873813325,94.44444444,57.14285714,100.00%,0.00150919,36.131595111,mid
71,"[468092467, 512675830, 364814610, 701355791, 11875072, 108022306, 948240177]",3115076253,94.44444444,57.14285714,100.00%,0.000562668,36.1316897632,high
72,[19109226],19109226,87.5,19.04761905,50.00%,0.001000166,23.2641856984,low
73,"[210694888, 891684658, 101995098, 158206745, 180971056, 980822525, 555778989, 767478571, 62742373]",3910374903,94.44444444,57.14285714,100.00%,0.000991821,36.1316468479,high
74,"[91034421, 124797148, 989321878, 700080309]",1905233756,94.44444444,57.14285714,100.00%,0.00108242,36.13163778799999,mid
75,"[761058152, 319921023, 385737121, 606856001, 40369227, 525202527]",2639144051,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
76,[59004971],59004971,87.5,19.04761905,50.00%,0.000529289,23.2642327861,low
77,"[45418291, 569001692, 662021216, 204054250]",1480495449,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
78,"[845222481, 186288995, 734216209, 298320299, 526663313]",2590711297,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
79,"[427155732, 105726731, 487590800, 36112098, 668891725, 806390640, 64719386, 971193279]",3567780391,94.44444444,57.14285714,100.00%,0.001000881,36.1316459419,mid
80,"[80543356, 664273941, 972965451]",1717782748,94.44444444,57.14285714,100.00%,0.000822544,36.1316637756,high
81,"[841573709, 623229298, 529032886, 45612265, 964850142, 418550718, 435288520, 939366715, 754516793, 340036027]",5892057073,94.44444444,57.14285714,100.00%,0.001000881,36.1316459419,mid
82,"[531719786, 247784434, 55449949]",834954169,94.44444444,57.14285714,100.00%,0.001000166,36.1316460134,mid
83,"[828237893, 887488532, 238907619, 13765201, 212012404, 217979574, 366234464, 194925574]",2959551261,94.44444444,57.14285714,100.00%,0.001097441,36.1316362859,mid
84,"[965665393, 91826673]",1057492066,94.44444444,57.14285714,100.00%,0.000998974,36.1316461326,mid
85,"[13866154, 286326563, 888624428, 378206608, 570226473]",2137250226,94.44444444,57.14285714,100.00%,0.001000404,36.1316459896,mid
86,"[269624653, 517127903]",786752556,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
87,"[231963803, 653681681, 831452206, 564777337, 526652579, 713869856, 513715602, 257241823, 479317995, 880804936]",5653477818,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
88,"[608315395, 371150676, 504255078, 665552430, 705915425, 244033768, 754618060, 680413371, 980888956, 291609049]",5806752208,94.44444444,57.14285714,100.00%,0.001012325,36.1316447975,mid
89,"[232034008, 782044204]",1014078212,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
90,"[728777092, 813264482, 609516616, 438937391, 47676275, 658328949, 574905990, 588623317, 139724168]",4599754280,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
91,"[66259048, 216743850, 898889357, 465032253, 437762123, 513072703, 936316498, 83092501, 168817192]",3785985525,94.44444444,57.14285714,100.00%,0.001240015,36.1316220285,mid
92,"[956898788, 199843367, 968294164, 60517638, 247312506, 781279736, 217401186]",3431547385,94.44444444,57.14285714,100.00%,0.001000643,36.1316459657,mid
93,"[560188512, 546921221, 708754997, 498373904, 106158915, 407429295, 28668185]",2856495029,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
94,"[126861784, 65216620, 170484454]",362562858,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
95,"[340174043, 352270710]",692444753,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
96,"[169122702, 761578138, 596593286, 870673921]",2397968047,94.44444444,57.14285714,100.00%,0.001003027,36.1316457273,mid
97,"[317254133, 758323016, 159044792, 206779929, 27551587]",1468953457,94.44444444,57.14285714,100.00%,0.001000166,36.1316460134,mid
98,"[995854734, 164762813, 772353724, 687530394, 677885611]",3298387276,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
99,"[950096763, 608292774, 641648352, 26670238, 549297548, 820191410]",3596197085,94.44444444,57.14285714,100.00%,0.001225233,36.1316235067,mid
100,"[264417063, 361847183, 827793925]",1454058171,94.44444444,57.14285714,100.00%,0.001285791,36.1316174509,mid
101,"[136852312, 448299228, 53969871, 578319460, 477461533, 325324314, 528798744, 18208112, 800426122]",3367659696,94.44444444,57.14285714,100.00%,0.001000404,36.1316459896,mid
102,"[567656098, 801621497, 534636955, 212450717, 28265007, 985744535]",3130374809,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
103,"[305158449, 452102164, 721759695, 965866751, 72710280, 130383445]",2647980784,94.44444444,57.14285714,100.00%,0.00101161,36.13164486899999,mid
104,"[677495888, 886287105, 899389924, 125137610, 20161497, 347358512, 787272134, 894946274]",4638048944,94.44444444,57.14285714,100.00%,0.001592398,36.1315867902,mid
105,"[328790947, 486809183, 456974710, 961152513, 654903047]",2888630400,94.44444444,57.14285714,100.00%,0.000998735,36.1316461565,high
106,[697171399],697171399,87.5,19.04761905,50.00%,0.002397776,23.2640459374,low
107,"[164175973, 317529577, 958564619, 82661657, 314244703, 120741942, 251458063, 403223276, 897581845, 727858724]",4238040379,94.44444444,57.14285714,100.00%,0.000968695,36.1316491605,high
108,"[702920087, 842571108, 14122352, 479996668]",2039610215,94.44444444,57.14285714,100.00%,0.000999689,36.13164606109999,mid
109,"[695873808, 622202873, 413094179, 765624041]",2496794901,94.44444444,57.14285714,100.00%,0.001013517,36.13164467829999,mid
110,"[488956253, 692768057, 76484556, 863859147, 370617515, 630077637, 561637199]",3684400364,94.44444444,57.14285714,100.00%,0.001000643,36.1316459657,mid
111,"[492522776, 93571953, 98140603, 49813339, 433099142, 251855077, 722360919, 44617297, 215468823, 428646976]",2830096905,94.44444444,57.14285714,100.00%,0.001536369,36.13159239309999,mid
112,"[108150692, 407352668, 162474790, 494802713, 302351534, 84491625]",1559624022,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
113,"[117432141, 183739805, 86417159, 539996825]",927585930,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
114,"[895337971, 101205902, 359973294, 603277021]",1959794188,94.44444444,57.14285714,100.00%,0.001002073,36.1316458227,mid
115,"[532466097, 2963758, 522933050, 595143406, 641980216, 704202945]",2999689472,94.44444444,57.14285714,100.00%,0.00100565,36.131645465,mid
116,"[236818506, 155401032, 666620460, 359137425, 907081370, 823740576, 189070105]",3337869474,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
117,"[424855494, 559212123, 401303571, 734015452, 231377180, 569427031, 631400521, 605588852, 710141692]",4867321916,94.44444444,57.14285714,100.00%,0.001000881,36.1316459419,mid
118,"[815927219, 840197193, 404216078, 90656006, 568893061]",2719889557,94.44444444,57.14285714,100.00%,0.00107646,36.131638384,mid
119,"[671808129, 344726731, 944907364, 599851662]",2561293886,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
120,"[57115554, 734689660, 835868806, 472696913, 516014021, 59456860, 450657462, 413852572, 104660556]",3645012404,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
121,"[239607705, 33885259, 475047617, 61397876, 308535274, 155434818, 99954877, 76756616, 546464076]",1997084118,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
122,"[783329574, 494580263, 72178053, 125924209, 330679061, 215348354, 168163515, 337374909]",2527577938,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
123,"[143911678, 780280257, 872892666]",1797084601,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
124,"[461255496, 215720504, 200703122, 730611526, 224295193, 965376855, 378443659, 134564693, 443091886]",3754062934,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
125,"[3358600, 739693794, 715085229, 901817412, 329571475]",2689526510,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
126,"[43460669, 879424311, 12453392]",935338372,94.44444444,57.14285714,100.00%,0.001044512,36.13164157879999,mid
127,"[868467296, 166322836, 387666744, 550455607, 226674359, 735680470, 580754962, 167856327]",3683878601,94.44444444,57.14285714,100.00%,0.000999689,36.13164606109999,mid
128,[265491087],265491087,87.5,19.04761905,50.00%,0.000998974,23.2641858176,low
129,"[284730220, 779119755, 889242253, 302431712, 248604328]",2504128268,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
130,"[371355530, 373239054, 914952529, 228629827, 997786627, 541311477]",3427275044,94.44444444,57.14285714,100.00%,0.000999689,36.13164606109999,mid
131,"[878167216, 624560017, 556320139, 900241507, 271554035, 15685512, 59573769, 593416096, 258977511, 704375042]",4862870844,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
132,"[630082101, 627866485, 205642834, 562093470, 90952476, 136982991, 983238091, 851557517, 360227928]",4448643893,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
133,[901451484],901451484,87.5,19.04761905,50.00%,0.000999689,23.2641857461,low
134,"[85387074, 687728453]",773115527,94.44444444,57.14285714,100.00%,0.000597,36.13168633,high
135,"[141276188, 503790176, 952846368]",1597912732,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
136,"[757329058, 11631239, 221121287, 786144622, 41503223]",1817729429,94.44444444,57.14285714,100.00%,0.001000404,36.1316459896,mid
137,"[859678096, 313031067, 649547308, 645728039, 319549828, 625322244]",3412856582,94.44444444,57.14285714,100.00%,0.000835896,36.13166244039999,high
138,"[224010280, 897556525, 498334134, 683960527, 972972080]",3276833546,94.44444444,57.14285714,100.00%,0.00103569,36.131642461,mid
139,"[990933743, 304303363, 32669606, 970169928, 170690280, 228053882, 44146661]",2740967463,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
140,"[869281536, 930418267, 544307597, 181861468, 972580623, 192337970, 243943696, 177759022, 928833053]",5041323232,94.44444444,57.14285714,100.00%,0.00100255,36.131645775,mid
141,"[340286223, 16059410, 899260567, 493553980, 177619554, 469780747, 54008633]",2450569114,94.44444444,57.14285714,100.00%,0.00100112,36.131645918,mid
142,"[890531345, 859633929]",1750165274,94.44444444,57.14285714,100.00%,0.001002073,36.1316458227,mid
143,"[109981084, 568211490, 421933972]",1100126546,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
144,"[418079053, 809130284, 613146401, 464061857, 25543033, 322493149, 851023391, 266296488, 633425076]",4403198732,94.44444444,57.14285714,100.00%,0.000998497,36.1316461803,high
145,"[714014436, 796306131]",1510320567,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
146,"[340489674, 566864465]",907354139,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
147,"[679459989, 291903159, 210474539, 76031994, 437347958, 754571802, 775438532, 44193398]",3269421371,94.44444444,57.14285714,100.00%,0.000997782,36.13164625179999,high
148,"[715500834, 66639557, 552656244, 711696248, 196973664, 192990498]",2436457045,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
149,"[751445232, 220239301]",971684533,94.44444444,57.14285714,100.00%,0.000999212,36.1316461088,mid
150,"[34703922, 792193014, 14172396, 447301656, 205331613, 819165771]",2312868372,94.44444444,57.14285714,100.00%,0.000999212,36.1316461088,mid
151,"[46, -78, -94, 23, -82, -12, 33, -44]",46,94.73684211,57.14285714,100.00%,0.000999689,36.19012559509999,high
152,"[-80, 61, -49, -39, 46, 82, -71, 69, -23]",128,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
153,"[-54, -27, -75, -2, -88, -1, 84, -58]",84,95.23809524,61.9047619,100.00%,0.000999689,37.7189476491,high
154,"[15, -72, 69, -51, -11]",69,95.23809524,61.9047619,100.00%,0.000941753,37.7189534427,high
155,"[9, -95, 58, 34, -89, -14, 14, 1, 22]",92,95.23809524,61.9047619,100.00%,0.000999928,37.7189476252,high
156,[72],72,87.5,19.04761905,50.00%,0.000949144,23.2641908006,low
157,"[-68, 34, -25, 19, -34, -28]",34,95.23809524,61.9047619,100.00%,0.001000881,37.7189475299,high
158,"[24, -45, -29, 8, -63, 35, 69, 33, 48]",185,95.23809524,61.9047619,100.00%,0.00100112,37.718947506,high
159,"[72, 98, -3]",170,94.73684211,57.14285714,100.00%,0.001003504,36.1901252136,high
160,"[-93, 17, -98, 47, 47, -44, 2, 5]",94,95.23809524,61.9047619,100.00%,0.000526667,37.7189949513,high
161,"[-78, 94, -69, -62, 28, 93, 83]",204,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
162,"[-26, 31, 18, -68, -63, -69, 39]",49,95.23809524,61.9047619,100.00%,0.001000404,37.7189475776,high
163,"[-93, -88, -75, -18, -14, 88, 78, -46]",166,95.23809524,61.9047619,100.00%,0.001002312,37.7189473868,high
164,"[95, 72, -70, 76, 77]",250,94.73684211,57.14285714,100.00%,0.001168966,36.1901086674,high
165,"[27, 30, -79, 52]",57,95.23809524,61.9047619,100.00%,0.001000404,37.7189475776,high
166,"[-6, -56, -88, 33, -95]",33,95.23809524,61.9047619,100.00%,0.000597715,37.7189878465,high
167,"[45, -38, 24, 88, 8, -41, -27, -43]",127,94.73684211,57.14285714,100.00%,0.001582861,36.19006727789999,high
168,"[-77, 2]",2,93.75,52.38095238,50.00%,0.000415087,34.514244205299995,low
169,"[60, -26, 53, 65, -18, -71, -72, 73]",152,95.23809524,61.9047619,100.00%,0.001031876,37.7189444304,high
170,"[-59, -4, 10, 20, -44, 85, 73, -21, 5]",158,95.23809524,61.9047619,100.00%,0.00051403,37.718996215,high
171,"[-22, 24, -79, 73, -69, 83, 62, -100]",149,95.23809524,61.9047619,100.00%,0.000632286,37.7189843894,high
172,"[60, 15, -33, -4, -14, 40, 90, -54, -62, 86]",154,94.73684211,57.14285714,100.00%,0.001002312,36.1901253328,high
173,"[-97, -57, 16, -37, 14, -21, -51, 79]",79,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
174,"[22, 44, -99]",66,94.73684211,57.14285714,100.00%,0.001000404,36.1901255236,high
175,"[35, -33, -31, -50, 62, 23, 74, 70, 10]",239,95.23809524,61.9047619,100.00%,0.000999689,37.7189476491,high
176,"[30, 46, 41, -90, -10, -55]",117,94.73684211,57.14285714,100.00%,1e-09,36.19022556389999,high
177,"[-84, 91, 11, -86, -90, 7, -63, 91]",102,95.23809524,61.9047619,100.00%,0.001004934,37.7189471246,high
178,"[79, -20, -49, 37]",79,94.11764706,52.38095238,100.00%,1e-09,34.6378151259,mid
179,"[-6, -38]",-6,93.33333333,47.61904762,50.00%,0.00099802,33.002281149999995,low
180,"[29, -31, -82, -25, -30, -38, 14, 74, 21]",109,95.23809524,61.9047619,100.00%,0.001000404,37.7189475776,high
181,"[-4, 43, 56, -26, 37, 51, -3, 23, -7, 74]",248,95.23809524,61.9047619,100.00%,0.001000404,37.7189475776,high
182,"[24, -8, -51]",24,94.11764706,52.38095238,100.00%,1e-09,34.6378151259,mid
183,"[80, 41, 43, -51, -36, -85, 32]",164,95.23809524,61.9047619,100.00%,0.000458241,37.7190017939,high
184,[30],30,87.5,19.04761905,50.00%,0.000999451,23.2641857699,low
185,"[37, -45, -30, -49, -94, 21, -100]",37,94.73684211,57.14285714,100.00%,1e-09,36.19022556389999,high
186,"[33, -59, 22, -58, 62, 56, -53, 100, 38]",203,95.23809524,61.9047619,100.00%,0.000998974,37.7189477206,high
187,"[-75, 61, 46, 53, 33, -50, -8, 13, 21]",193,95.23809524,61.9047619,100.00%,0.002001047,37.7188475133,high
188,"[-96, 93, -30]",93,95.23809524,61.9047619,100.00%,0.000999928,37.7189476252,high
189,"[-35, 93, 74, -98, 78, -14, -79, -52, 23, 30]",167,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
190,"[76, -28]",76,94.11764706,52.38095238,100.00%,0.000999928,34.6377151332,mid
191,"[-75, 18, 74, 96, 73, 32, -61, 45, -86, 43]",293,95.23809524,61.9047619,100.00%,0.000939131,37.7189537049,high
192,"[-3, 20, 3, -66, 56, -12, -13]",56,95.23809524,61.9047619,100.00%,0.0005126,37.718996358,high
193,"[-9, -85, 70]",70,94.11764706,52.38095238,50.00%,1e-09,34.58781512589999,mid
194,"[-87, 1, 42, -32, 12, -11, -48, -84]",43,95.23809524,61.9047619,100.00%,0.000999212,37.7189476968,high
195,"[0, -4, 73, 7]",80,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
196,"[-38, -66]",-38,93.33333333,47.61904762,50.00%,0.000998735,33.0022810785,low
197,"[-9, -29, -40, -32, 27, -71, 67]",67,95.23809524,61.9047619,100.00%,0.000999928,37.7189476252,high
198,[78],78,87.5,19.04761905,50.00%,1e-09,23.2642857149,low
199,"[-76, -31, -43, -17, -75, -51, 12, 99, 58, -79]",169,95.23809524,61.9047619,100.00%,0.001761913,37.7188714267,high
200,"[45, -12, -84, -76, -66, 68, 62]",130,95.23809524,61.9047619,100.00%,0.000999928,37.7189476252,high
201,[-85],-85,87.5,19.04761905,50.00%,1e-09,23.2642857149,low
202,"[-38, -55, 67]",67,94.11764706,52.38095238,50.00%,0.00169754,34.587645372,mid
203,"[-74, 5, 0, 5, -60, 59, -31, 31, -57, 14]",59,95.23809524,61.9047619,100.00%,0.00099802,37.718947816,high
204,"[2, -21, -87, 16, 12, -3, 99, -36, 91]",179,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
205,"[-57, -95, -48, 75, -38, -3, 42]",76,95.23809524,61.9047619,100.00%,0.001000166,37.7189476014,high
206,"[-98, -55, -66, 68, 56]",124,95.23809524,61.9047619,100.00%,0.000998974,37.7189477206,high
207,"[8, 52, -71, -15, -24, 90]",90,95.23809524,61.9047619,100.00%,0.000999928,37.7189476252,high
208,"[100, -51, 90, -34, 88, 6, -96, -33, 76]",199,94.73684211,57.14285714,100.00%,1e-09,36.19022556389999,high
209,"[-10, -60, -31, -77, 22, 24, 16, 84]",146,95.23809524,61.9047619,100.00%,1e-09,37.7190476179,high
210,[49],49,87.5,19.04761905,50.00%,0.001000166,23.2641856984,low
211,"[-71, 99, -7, -4, 0, 65, -42, -75]",153,95.23809524,61.9047619,100.00%,0.000999212,37.7189476968,high
212,"[-7, 69, 99, -50]",168,95.23809524,61.9047619,100.00%,0.001000881,37.7189475299,high
213,"[-1, 39]",39,93.75,52.38095238,50.00%,0.000999451,34.5141857689,low
214,"[99, -24, 63, 48, 80, 94]",360,94.73684211,57.14285714,100.00%,1e-09,36.19022556389999,high
215,"[0, 5, 55, 12, -1]",72,94.73684211,57.14285714,100.00%,0.000999928,36.19012557119999,high
